"Species","code","Impact_year","Type_of_cost_merged","Management_type","Geographic_region","Genus","Cost.USD","eventDate","First_invacost","First_manage","First_manage_invacost"
"Acacia cyclops","ESP",2015,"Management_costs","Post-invasion_management","Europe","Acacia",5786.78113149179,NA,2008,1999,1995
"Acacia cyclops","ESP",2018,"Management_costs","Post-invasion_management","Europe","Acacia",6305.15126251765,NA,2008,1999,1995
"Acacia cyclops","ESP",2010,"Management_costs","Post-invasion_management","Europe","Acacia",2681.98886794912,NA,2008,1999,1995
"Acacia cyclops","ESP",2014,"Management_costs","Post-invasion_management","Europe","Acacia",10986.7634267419,NA,2008,1999,1995
"Acacia cyclops","ESP",2017,"Management_costs","Post-invasion_management","Europe","Acacia",5782.52163162354,NA,2008,1999,1995
"Acacia cyclops","ESP",2011,"Management_costs","Post-invasion_management","Europe","Acacia",3308.39809579217,NA,2008,1999,1995
"Acacia cyclops","ESP",2013,"Management_costs","Post-invasion_management","Europe","Acacia",9909.65418875285,NA,2008,1999,1995
"Acacia cyclops","ESP",2012,"Management_costs","Post-invasion_management","Europe","Acacia",15678.7256284028,NA,2008,1999,1995
"Acacia cyclops","ESP",2016,"Management_costs","Post-invasion_management","Europe","Acacia",3095.16754372856,NA,2008,1999,1995
"Acacia cyclops","ESP",2009,"Management_costs","Post-invasion_management","Europe","Acacia",2651.76841689245,NA,2008,1999,1995
"Acacia cyclops","ESP",2008,"Management_costs","Post-invasion_management","Europe","Acacia",5572.5339949904,NA,2008,1999,1995
"Acacia cyclops","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",1999,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",1995,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",1996,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2000,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2009,"Management_costs","Post-invasion_management","Africa","Acacia",485095.490609348,1835,1995,1995,1995
"Acacia cyclops","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia cyclops","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Acacia",1056027.6832908,1835,1995,1995,1995
"Acacia dealbata","ESP",2018,"Management_costs","Post-invasion_management","Europe","Acacia",18612.7178999575,NA,2018,1999,1995
"Acacia dealbata","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",1996,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",1999,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2000,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",1995,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia dealbata","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Acacia",780602.118614475,1858,1995,1995,1995
"Acacia longifolia","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2009,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2012,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2011,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2013,"Management_costs","Post-invasion_management","Africa","Acacia",114493.153541753,1827,2001,1995,1995
"Acacia longifolia","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2010,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia longifolia","ZAF",2014,"Management_costs","Post-invasion_management","Africa","Acacia",108278.668726964,1827,2001,1995,1995
"Acacia mangium","FRA",2013,"Management_costs","Post-invasion_management","South America","Acacia",39999.4404113088,1980,2012,2012,1995
"Acacia mangium","FRA",2012,"Management_costs","Post-invasion_management","South America","Acacia",22880.8110133842,1980,2012,2012,1995
"Acacia mearnsii","ZAF",2013,"Management_costs","Post-invasion_management","Africa","Acacia",3609.74776563212,1858,1995,1995,1995
"Acacia mearnsii","ZAF",1999,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",1996,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2000,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2009,"Management_costs","Post-invasion_management","Africa","Acacia",1866882.6456784,1858,1995,1995,1995
