"Genus","Cost.USD","Time.since.introduction"
"Acacia",27496.9920822867,0
"Acacia",30595.9470600435,1
"Acacia",34968.2072244144,2
"Acacia",38511.6015082875,3
"Acacia",54479.7303665854,4
"Acacia",64533.9837459265,5
"Acacia",75520.7471726684,6
"Acacia",81307.5283041602,7
"Acacia",84402.6958478888,8
"Acacia",90185.2174795123,9
"Acacia",96490.36874203,10
"Acacia",119371.179755414,32
"Acacia",159370.620166723,33
"Acacia",8338007.09252358,137
"Acacia",16516643.5648804,138
"Acacia",24695280.0372373,139
"Acacia",32873916.5095941,140
"Acacia",41052552.981951,141
"Acacia",49231189.4543079,142
"Acacia",57409825.9266647,143
"Acacia",65588462.3990216,144
"Acacia",73767098.8713784,145
"Acacia",81945735.3437353,146
"Acacia",90490949.6584276,147
"Acacia",99036163.9731199,148
"Acacia",107581378.287812,149
"Acacia",116126592.602505,150
"Acacia",118360053.090518,151
"Acacia",118726630.932854,152
"Acacia",119093208.775189,153
"Acacia",119459786.617525,154
"Acacia",119829974.207626,155
"Acacia",120196552.049961,156
"Acacia",120563129.892297,157
"Acacia",120929707.734632,158
"Acacia",121296285.576968,159
"Acacia",122718891.102594,160
"Acacia",123865874.190374,161
"Acacia",126652942.032119,162
"Acacia",129440009.873864,163
"Acacia",132227077.715609,164
"Acacia",135014145.557354,165
"Acacia",137801213.399099,166
"Acacia",140588281.240844,167
"Acacia",143375349.082589,168
"Acacia",146162416.924334,169
"Acacia",148949484.766079,170
"Acacia",151736552.607824,171
"Acacia",154523620.449569,172
"Acacia",157310688.291314,173
"Acacia",159635102.609105,174
"Acacia",161474421.436286,175
"Acacia",162443560.852552,176
"Acacia",162551839.521279,177
"Acacia",162660118.190006,178
"Acacia",162768396.858733,179
"Acacia",162878231.319159,180
"Acacia",162986509.987886,181
"Acacia",163094788.656613,182
"Acacia",163203067.32534,183
"Acacia",163311345.994067,184
"Acacia",163419624.662794,185
"Acacia",163534117.816335,186
"Acacia",163642396.485062,187
"Aedes",138950016.977054,0
"Aedes",166602601.563076,1
"Aedes",176812347.140526,2
"Aedes",187009400.650965,3
"Aedes",203291901.22065,4
"Aedes",503948603.444663,5
"Aedes",660628421.351967,6
"Aedes",663599878.313684,7
"Aedes",663905402.653587,8
"Aedes",664460723.965645,9
"Aedes",664766248.305548,10
"Aedes",665591064.165439,11
"Aedes",754526763.222562,12
"Aedes",766350331.549166,13
"Aedes",796321633.739926,14
"Aedes",1193635822.8699,17
"Aedes",1214016313.18417,18
"Aedes",1279209039.32754,19
"Aedes",1393003437.70526,20
"Aedes",1952463440.41883,21
"Aedes",2002289313.36937,22
"Aedes",2052020186.31991,23
"Aedes",2101751059.27045,24
"Aedes",2110857962.55275,25
"Aedes",2120059441.5952,26
"Aedes",2129657369.60344,27
"Aedes",2139917069.3809,28
"Aedes",2149023972.6632,29
"Aedes",2158130875.9455,30
"Aedes",2219159008.80975,32
"Aedes",2232363883.80975,36
"Aedes",2427863732.26593,40
"Agave",4691.59027604049,0
"Agave",10359.9384591237,1
"Agave",24317.7283127915,2
"Agave",31942.89129198,3
"Agave",50384.8650620237,4
"Agave",59371.4741213332,5
"Agave",76990.0608853861,6
"Agave",79548.3854376591,7
"Agave",85194.9838301297,8
"Agave",91907.487262179,9
"Agave",120096.421003645,68
"Agave",148285.354745111,69
"Agave",176474.288486577,70
"Agave",204663.222228043,71
"Agave",232852.155969509,72
"Agave",261112.639560713,73
"Agave",289301.573302179,74
"Agave",317666.754184706,75
"Agave",346897.539553794,76
"Agave",375259.992323966,77
"Agave",403448.926065432,78
"Agave",431637.859806898,79
"Agave",459826.793548364,80
"Agave",488015.72728983,81
"Agave",516204.661031296,82
"Agave",544393.594772762,83
"Agave",572582.528514228,84
"Agave",600771.462255694,85
"Agave",628960.39599716,86
"Agave",657149.329738626,87
"Agave",659995.995461287,139
"Agave",662842.661183947,140
"Agave",665689.326906607,141
"Agave",668535.992629268,142
"Agave",671382.658351928,143
"Agave",674229.324074589,144
"Agave",677075.989797249,145
"Agave",679922.655519909,146
"Agave",682769.32124257,147
"Agave",685615.98696523,148
"Agave",688462.65268789,149
"Agave",691309.318410551,150
"Agave",694155.984133211,151
"Agave",697002.649855871,152
"Agave",699849.315578532,153
"Agave",702695.981301192,154
"Agave",705542.647023853,155
"Agave",708389.312746513,156
"Agave",711235.978469173,157
"Agave",714082.644191834,158
"Agave",725458.903048954,412
"Anoplophora",84928253.4058911,0
"Anoplophora",254033241.796946,1
"Anoplophora",423841415.575089,2
"Anoplophora",593649589.353232,3
"Anoplophora",763457763.131375,4
"Anoplophora",934389985.557742,5
"Anoplophora",1062791102.11674,6
"Anoplophora",1191192218.67575,7
"Anoplophora",1314510209.27948,8
"Anoplophora",1437828199.88321,9
"Anoplophora",1560952645.68658,10
"Anoplophora",1600376523.24631,11
"Anoplophora",1639324234.06452,12
"Anoplophora",1639572368.42395,13
"Anoplophora",1639820502.78338,14
"Arundo",9791.14492391059,0
"Arundo",12426.3992774466,1
"Arundo",19400.4403338348,2
"Arundo",29193.9377084408,3
"Arundo",62267.8557499643,4
"Arundo",104990.79138269,5
"Arundo",243077.540059035,6
"Arundo",392164.29837149,7
"Arundo",537895.773326366,8
"Arundo",696226.192948124,9
"Arundo",829312.455793872,245
"Arundo",962398.718639618,246
"Arundo",1099997.98811885,247
"Arundo",1237597.25759808,248
"Arundo",1375196.52707731,249
"Arundo",1512795.79655655,250
"Arundo",1650395.06603578,251
"Arundo",1787994.33551501,252
"Arundo",1925593.60499424,253
"Arundo",2063192.87447347,254
"Arundo",2200792.14395271,255
"Arundo",2338391.41343194,256
"Arundo",2475990.68291117,257
"Arundo",2613589.9523904,258
"Arundo",2670471.22221467,259
"Arundo",2674984.22884816,260
"Arundo",2679497.23548164,261
"Arundo",2684010.24211513,262
"Arundo",2688523.24874861,263
"Arundo",2693036.2553821,264
"Arundo",2697549.26201559,265
"Arundo",2702062.26864907,266
"Bactrocera",958644.077194753,49
"Bactrocera",1917288.15438951,50
"Bactrocera",2875932.23158426,51
"Bactrocera",3834576.30877901,52
"Bactrocera",4793220.38597376,53
"Bactrocera",5751864.46316852,54
"Bactrocera",6710508.54036327,55
"Bactrocera",9374529.97593606,56
