"V1","V2","V3","V4","V5","V6"
2.31054515672456e-06,1.80916169876096e-05,5.40604534281252e-05,4.14239667757571e-05,1.60141316566454e-05,9.88474651695934e-06
0.000144828675779544,0.000332401315032818,0.000522240710743137,0.000184708196098778,6.47902392453159e-05,4.95884413971074e-05
3.0877339883054e-06,2.06721665545411e-05,4.9672790667154e-05,3.16979760014488e-05,1.00970444973815e-05,6.0633680931002e-06
0.000148353114061335,0.000341308562852466,0.000511715963274923,0.000386840525209206,0.000139017536262239,0.000108791318637003
0,6.75089230783559e-06,1.90162777455415e-05,9.30585394523351e-06,2.43512924578702e-06,1.32492204856408e-06
4.5213532817632e-06,3.42528472598875e-05,6.90365746846455e-05,3.72244921823077e-05,9.73298796140073e-06,7.58849342289504e-06
0,5.62201143604017e-06,1.47596579559465e-05,5.40308435042653e-06,1.66752049091091e-06,0
1.04854703939002e-06,9.51345045413365e-06,1.98163394099277e-05,8.50345127103389e-06,1.80097851659426e-06,9.79737892414483e-07
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,2.62388602398005e-06,0,0,0
0,0,1.76067204694138e-06,7.35381899546654e-07,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000321624898748524,0.000782800834633704,0.00114909721601913,0.000971727076110881,0.000699414175505742,0.000699414175505742
0.000456940301100315,0.00110955107791561,0.00156616892011821,0.000482168429451471,0.000248773952230576,0.000205954688910668
0.00167271382934887,0.00250392379985906,0.00302572116357359,0.00323242163107016,0.00240949711494463,0.0019562616552236
0.000881130453395954,0.00146647741920812,0.00192923903064242,0.00163726503612987,0.00091784354934311,0.000806040528019129
0.00145754653534427,0.000981988980441057,0.00270498940546839,0.00132545517099388,0.00152563065607026,0.00133362477643162
0.000511649944686577,0.00123088680571517,0.000721570767968427,0.000423581638170942,0.00022532212543948,0.000199081938837885
0.00111466138584023,0.00182921714884362,0.000982932093670039,0.00100643719474015,0.00186333876541412,0.00152074968789523
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
