"Genus","code","Geographic_region","Time.since.introduction","Cost.USD","Management.delay"
"Acacia","ESP","Europe","7","5786.78113149179","-13"
"Acacia","ESP","Europe","10","6305.15126251765","-13"
"Acacia","ESP","Europe","2","2681.98886794912","-13"
"Acacia","ESP","Europe","6","10986.7634267419","-13"
"Acacia","ESP","Europe","9","5782.52163162354","-13"
"Acacia","ESP","Europe","3","3308.39809579217","-13"
"Acacia","ESP","Europe","5","9909.65418875285","-13"
"Acacia","ESP","Europe","4","15678.7256284028","-13"
"Acacia","ESP","Europe","8","3095.16754372856","-13"
"Acacia","ESP","Europe","1","2651.76841689245","-13"
"Acacia","ESP","Europe","0","5572.5339949904","-13"
"Acacia","ZAF","Africa","166","1056027.6832908","160"
"Acacia","ZAF","Africa","168","1056027.6832908","160"
"Acacia","ZAF","Africa","164","1056027.6832908","160"
"Acacia","ZAF","Africa","167","1056027.6832908","160"
"Acacia","ZAF","Africa","160","1056027.6832908","160"
"Acacia","ZAF","Africa","171","1056027.6832908","160"
"Acacia","ZAF","Africa","169","1056027.6832908","160"
"Acacia","ZAF","Africa","172","1056027.6832908","160"
"Acacia","ZAF","Africa","170","1056027.6832908","160"
"Acacia","ZAF","Africa","161","1056027.6832908","160"
"Acacia","ZAF","Africa","162","1056027.6832908","160"
"Acacia","ZAF","Africa","165","1056027.6832908","160"
"Acacia","ZAF","Africa","174","485095.490609348","160"
"Acacia","ZAF","Africa","163","1056027.6832908","160"
"Acacia","ZAF","Africa","173","1056027.6832908","160"
"Acacia","ESP","Europe","0","18612.7178999575","-23"
"Acacia","ZAF","Africa","139","780602.118614475","137"
"Acacia","ZAF","Africa","140","780602.118614475","137"
"Acacia","ZAF","Africa","149","780602.118614475","137"
"Acacia","ZAF","Africa","147","780602.118614475","137"
"Acacia","ZAF","Africa","138","780602.118614475","137"
"Acacia","ZAF","Africa","141","780602.118614475","137"
"Acacia","ZAF","Africa","142","780602.118614475","137"
"Acacia","ZAF","Africa","150","780602.118614475","137"
"Acacia","ZAF","Africa","148","780602.118614475","137"
"Acacia","ZAF","Africa","143","780602.118614475","137"
"Acacia","ZAF","Africa","144","780602.118614475","137"
"Acacia","ZAF","Africa","146","780602.118614475","137"
"Acacia","ZAF","Africa","137","780602.118614475","137"
"Acacia","ZAF","Africa","145","780602.118614475","137"
"Acacia","ZAF","Africa","181","108278.668726964","168"
"Acacia","ZAF","Africa","174","108278.668726964","168"
"Acacia","ZAF","Africa","177","108278.668726964","168"
"Acacia","ZAF","Africa","175","108278.668726964","168"
"Acacia","ZAF","Africa","178","108278.668726964","168"
"Acacia","ZAF","Africa","176","108278.668726964","168"
"Acacia","ZAF","Africa","182","108278.668726964","168"
"Acacia","ZAF","Africa","185","108278.668726964","168"
"Acacia","ZAF","Africa","179","108278.668726964","168"
"Acacia","ZAF","Africa","184","108278.668726964","168"
"Acacia","ZAF","Africa","186","114493.153541753","168"
"Acacia","ZAF","Africa","180","108278.668726964","168"
"Acacia","ZAF","Africa","183","108278.668726964","168"
"Acacia","ZAF","Africa","187","108278.668726964","168"
"Acacia","FRA","South America","33","39999.4404113088","32"
"Acacia","FRA","South America","32","22880.8110133842","32"
"Acacia","ZAF","Africa","155","3609.74776563212","137"
"Acacia","ZAF","Africa","141","7398034.35374238","137"
"Acacia","ZAF","Africa","147","7398034.35374238","137"
"Acacia","ZAF","Africa","143","7398034.35374238","137"
"Acacia","ZAF","Africa","144","7398034.35374238","137"
"Acacia","ZAF","Africa","138","7398034.35374238","137"
"Acacia","ZAF","Africa","148","7398034.35374238","137"
"Acacia","ZAF","Africa","142","7398034.35374238","137"
"Acacia","ZAF","Africa","151","1866882.6456784","137"
"Acacia","ZAF","Africa","137","7398034.35374238","137"
"Acacia","ZAF","Africa","150","7398034.35374238","137"
"Acacia","ZAF","Africa","149","7398034.35374238","137"
"Acacia","ZAF","Africa","146","7398034.35374238","137"
"Acacia","ZAF","Africa","139","7398034.35374238","137"
"Acacia","ZAF","Africa","145","7398034.35374238","137"
"Acacia","ZAF","Africa","140","7398034.35374238","137"
"Acacia","ESP","Europe","3","234.996188080885","-17"
"Acacia","ESP","Europe","5","144.599190588236","-17"
"Acacia","ESP","Europe","0","670.691286679717","-17"
"Acacia","ESP","Europe","2","1690.27129642183","-17"
"Acacia","ESP","Europe","4","289.403229895144","-17"
