"EAB_pres","SB_pres","PTB_pres","ALB_pres","JCLB_pres","PWB_pres","EBB_pres","RPBB_pres","MPEB_pres","ELB_pres","SEEBB_pres","BEBB_pres","SWW_pres","PSB_pres","PFW_pres","LC_pres","EPNM_pres","AOW_pres","IPS_pres","CBT_pres","ESN_pres","BM_pres","BL_pres","ELM_pres","ESB_pres","MW_pres","SM_pres","EPS_pres","WM_pres","EFW_pres","BVW_pres","IWLB_pres","JB_pres","LS_pres","MAS_pres","ABL_pres","EPSM_pres","PS_pres","EL_pres","OW_pres","WPBR_pres","CB_pres","CDC_pres","DWA_pres","SC_pres","ELC_pres","EPLR_pres","DED_pres","PRR_pres","POCRD_pres","SOD_pres","LW_pres","BC_pres","WS_pres","ESGA_pres","BWA_pres","HWA_pres","CRS_pres","GM_pres","GOS_pres","EP_pres","JS_pres","BBD_pres","SJS_pres","GSA_pres","CS_pres","EHS_pres","RLP_pres","CCS_pres","OS_pres","PHM_pres","RPS_pres","CHS_pres","PT_pres","IBT_pres"
405599.092707184,2644.03164045932,2150.95233284067,567423.075311529,0,382390.575279174,130789.94103402,448959.535377962,448959.535377962,0,119168.923383251,28009.6885207368,448959.535377962,448959.535377962,448959.535377962,514131.200436738,130789.94103402,248510.196615062,97696.0089798915,2150.95233284067,339637.869307268,38679.295491736,257531.040951009,32054.0758957914,0,0,1472254.31401507,448959.535377962,3642232.43063149,28009.6885207368,0,1842722.21379262,664753.729418861,514131.200436738,0,257531.040951009,130789.94103402,1829136.05056245,58118.726484149,729157.394135195,97696.0089798915,0,7666.32988025799,0,351263.526398777,514430.167550572,377302.485778225,56842.7992472707,228485.95004274,0,38407.320378097,0,0,5088.08951643099,339637.869307268,198916.164622716,0,0,2869338.95189191,0,0,0,0,2507475.94348904,339637.869307268,249161.804034551,339637.869307268,0,0,2868667.69786869,0,130789.94103402,0,177804.139570286,36741.0087679709
845462.37629121,3883.41664686909,887.976681319905,659509.836534602,0,631129.048597909,291937.436256063,717704.501994599,717704.501994599,0,118540.115042319,24107.0467563431,717704.501994599,717704.501994599,717704.501994599,1054145.3418233,291937.436256063,197418.697639463,99476.841122796,887.976681319905,1092647.40078656,7915.99542154314,362928.476547644,22216.6649308995,0,0,2336035.74087858,717704.501994599,4947784.78631487,24107.0467563431,0,2963125.19229675,743822.053547972,1054145.3418233,0,362928.476547644,291937.436256063,2959085.59584259,45716.3173379787,395375.163136206,99476.841122796,0,0,0,618227.660859935,1054530.50943285,627089.451556224,45970.9568161051,391414.277396325,0,7521.6960029148,0,0,4039.5970606242,1092647.40078656,507700.784006323,0,0,3774812.14254544,0,0,0,0,3706947.24607298,1092647.40078656,211843.135848225,1092647.40078656,0,0,4502787.27326581,0,291937.436256063,0,136084.000519901,49622.3494820373
419142.817434146,3336.98385189648,850.392000294644,414710.72067299,0,468621.039780266,175155.581314954,557687.597666668,557687.597666668,0,75459.6786784359,23341.9942051672,557687.597666668,557687.597666668,557687.597666668,648940.484253261,175155.581314954,139451.773924579,75548.2661691044,850.392000294644,417033.830881379,850.392000294644,219972.024106086,581.68565290522,0,0,1622017.13851362,557687.597666668,3431998.42535836,23086.6870083243,0,2083052.55434324,513665.195279095,648940.484253261,0,219972.024106086,175155.581314954,2073414.5228343,23086.6870083243,416137.857746266,75548.2661691044,0,6568.06880774102,0,482139.331467356,649309.349180493,466577.280820494,23585.8557611216,250703.847519628,0,472.781778792035,0,0,2043.75898395907,417033.830881379,221851.979321641,0,0,2767012.65570465,0,0,0,0,2596717.74993645,417033.830881379,172052.129697754,417033.830881379,0,0,2963961.52800805,0,175155.581314954,0,117807.555791574,45330.9708610197
869068.617093967,6289.9803355282,0,504856.607096923,0,666294.70384581,298517.995458303,677883.051273415,677883.051273415,0,79492.4274360294,2807.34719840494,677883.051273415,677883.051273415,677883.051273415,1282649.55168354,298517.995458303,84487.1500178586,35108.3681334245,0,1542916.59922898,11383.3007615518,337144.017145898,35984.3916436422,0,0,2316580.99949025,677883.051273415,4565731.25041521,2807.34719840494,0,2976533.22180353,518474.121953942,1282649.55168354,0,337144.017145898,298517.995458303,2970190.74113637,37807.9405890677,201655.288649485,35108.3681334245,0,0,0,642774.683182737,1282649.55168354,659952.222381956,36824.1423360884,333626.363558046,0,11383.3007615518,0,0,6342.48145270007,1542916.59922898,646865.994873476,0,0,3521391.14553667,0,0,0,0,3495007.34350748,1542916.59922898,98131.9746577025,1542916.59922898,0,0,4360370.25829319,0,298517.995458303,0,21749.7940833842,3705.70272826938
276722.437553798,8035.89356210528,0,191914.378542948,0,505758.633471599,173573.359561589,653011.495972036,653011.495972036,0,21523.9239060808,4612.03727687551,653011.495972036,653011.495972036,653011.495972036,952931.820760741,173573.359561589,826.880393834769,2505.07649405318,0,658998.736446502,0,172774.83638988,1400.77513131912,0,0,1318171.63462132,653011.495972036,2562524.00518026,3997.22415504892,0,1823930.26822201,213673.101451096,952931.820760741,0,172774.83638988,173573.359561589,1823930.26822201,3997.22415504892,248198.197731452,2505.07649405318,0,0,0,650506.419493473,952931.820760741,505758.633471599,3211.26214555639,176078.436053061,0,0,0,0,0,658998.736446502,267209.582298907,0,0,2244903.30212962,0,0,0,0,2037603.36950774,658998.736446502,19374.341206771,658998.736446502,0,0,2314325.8075779,0,173573.359561589,0,826.880393834769,0
276008.33525,7077.77825,0,295719.87925,0,574875.05775,73582.302975,773592.775,773592.775,0,40493.50535,7741.200445,773592.775,773592.775,773592.775,1622818.92775,73582.302975,0,4851.44153,0,1128623.6855,0,260254.7715,2712.8028475,0,0,1431510.47675,773592.775,2746702.05,7741.200445,0,2006385.53475,300748.27675,1622818.92775,0,260254.7715,73582.302975,2006385.53475,7741.200445,163559.90275,4851.44153,0,0,0,768741.3335,1622818.92775,574875.05775,5028.3975975,78433.7445,0,0,0,0,0,1128623.6855,415295.6725,0,0,2430200.20875,0,0,0,0,2307133.81125,1128623.6855,0,1128623.6855,0,0,2583142.1475,0,73582.302975,0,0,0
276008.33525,7077.77825,0,295719.87925,0,574875.05775,73582.302975,773592.775,773592.775,0,40493.50535,7741.200445,773592.775,773592.775,773592.775,1622818.92775,73582.302975,0,4851.44153,0,1128623.6855,0,260254.7715,2712.8028475,0,0,1431510.47675,773592.775,2746702.05,7741.200445,0,2006385.53475,300748.27675,1622818.92775,0,260254.7715,73582.302975,2006385.53475,7741.200445,163559.90275,4851.44153,0,0,0,768741.3335,1622818.92775,574875.05775,5028.3975975,78433.7445,0,0,0,0,0,1128623.6855,415295.6725,0,0,2430200.20875,0,0,0,0,2307133.81125,1128623.6855,0,1128623.6855,0,0,2583142.1475,0,73582.302975,0,0,0
276008.33525,7077.77825,0,295719.87925,0,574875.05775,73582.302975,773592.775,773592.775,0,40493.50535,7741.200445,773592.775,773592.775,773592.775,1622818.92775,73582.302975,0,4851.44153,0,1128623.6855,0,260254.7715,2712.8028475,0,0,1431510.47675,773592.775,2746702.05,7741.200445,0,2006385.53475,300748.27675,1622818.92775,0,260254.7715,73582.302975,2006385.53475,7741.200445,163559.90275,4851.44153,0,0,0,768741.3335,1622818.92775,574875.05775,5028.3975975,78433.7445,0,0,0,0,0,1128623.6855,415295.6725,0,0,2430200.20875,0,0,0,0,2307133.81125,1128623.6855,0,1128623.6855,0,0,2583142.1475,0,73582.302975,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
