"V1","V2","V3","V4","V5","V6","V7"
0,0,0,0,0,0,0
2.41517046701797e-06,6.19740969802128e-05,7.65500284668212e-05,2.88293820275571e-05,1.51086512196446e-05,1.37660354070292e-05,2.94155438471656e-05
0,0,8.12723108612411e-07,0,0,0,0
2.86468070150818e-06,6.12312247330509e-05,7.36071724872363e-05,2.48284680088367e-05,1.66697767496528e-05,1.51450763846005e-05,2.89673542127631e-05
0,0,0,0,0,0,0
0,0,1.23564225038794e-06,0,0,0,9.28228059829853e-07
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.14255444615924e-05,0.000125532459383203,0.000158871818310779,9.16219833824464e-05,7.00770981922371e-05,6.3466134226748e-05,9.33551718628478e-05
2.38871947614346e-05,0.000186356524792333,0.000265800511796033,0.000177438639870799,0.000141728872480854,0.000127255364822123,0.000168960609623894
0.000391344862567083,0.000899609172054063,0.00109427980870032,0.000882798861828638,0.000734946652674626,0.000699414175505742,0.000771244740167309
9.4649625144382e-05,0.00026498658849942,0.000320728310378316,0.00022492295254826,0.000204594395352693,0.000184283438096514,0.000235407686797478
0.000343194764867633,0.000771134544552076,0.00102185365774198,0.000901125186603079,0.000778629946272381,0.000699414175505742,0.000794628938794191
7.91220594372456e-05,0.000210707424057588,0.00025448094142517,0.000171759625694286,0.000168958980527253,0.000152790595946227,0.000194114279078884
0.000218604861803008,0.0004252905342779,0.000798953860384235,0.000712549940547173,0.000699414175505742,0.000699414175505742,0.000699414175505742
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00015536431568484,0.000375554716314217,0.000727595262907953,0.000699414175505742,0.000699414175505742,0.000699414175505742,0.000699414175505742
0.00039302659678947,0.000893673262019644,0.00130619630635064,0.00257988277543446,0.00233657958403404,0.00217231836948809,0.00225978326877053
0.000288743719313042,0.000748467253608344,0.000908631849398693,0.000699414175505742,0.000699414175505742,0.000699414175505742,0.000699414175505742
0.000381086271100201,0.000892964964806159,0.00109996832076241,0.000860912569916446,0.000699414175505742,0.000699414175505742,0.000741657586279983
0.00250412705294228,0.00302990484543277,0.00389963636297896,0.00418230446516048,0.00370145376007866,0.00343962769175662,0.00352230395906207
0.00259539756683813,0.00306243460696981,0.00325292957121161,0.00303484845813149,0.00273627387963771,0.00253200480144247,0.00259909089730555
0.00210833224949064,0.00264190716844609,0.00351835545531552,0.00395390948986049,0.00353462640526892,0.00326937365381188,0.0032806407481145
0.00210207781069428,0.00264058306780495,0.00292696932368764,0.0028087559901804,0.00258789456831697,0.00239560305985524,0.00242428953798098
0.000474729935597958,0.00104613291610893,0.00302835858495741,0.00354404705939109,0.00320572963250968,0.00297770824680177,0.0030077880593797
0.000421812106341681,0.000954067284423409,0.00137889560387941,0.002506767775406,0.0023701493775711,0.000939415756696307,0.000959175047574981
0.000372669595941716,0.000767951944838418,0.0013245818129187,0.00304802313332185,0.00283043248248776,0.00263049374320244,0.00265591201935274
0.0004898332757965,0.000942577392506064,0.0028626609381715,0.00338620669920653,0.00309814183595426,0.00286154298956064,0.00286263719634223
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,7.63189130868399e-06,3.84175202899599e-06,0,0,0,0
3.36503508141276e-06,6.68392008852626e-05,7.51720507197317e-05,3.06039003647404e-05,1.41469174848123e-05,1.2669204830592e-05,2.8239864495737e-05
0,4.99359900365251e-06,3.03273475534616e-06,0,0,0,0
0,0,0,0.00437226319792799,0.0114682170050521,0.0224369820152245,0.038996975506185
0,0,0,0.00411669342814976,0.00969935384710112,0.017610175044657,0.0289017869052655
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.0093566844890174,0.0691145665092055,0.135825877032341,0.221904870576471,0.339855349839818
0,0,0.0240542597006951,0.11222083624698,0.202432322009482,0.315372639802087,0.468626357401663
0.000426481320876916,0.000941095739507484,0.000699414175505742,0.000699414175505742,0.000699414175505742,0.000699414175505742,0.000699414175505742
4.96329376779251e-05,0.00029358940407561,0.000370699104398838,0.000232338069061734,0.000247225806636109,0.000223266967272036,0.00022998156576452
7.06115287050573e-05,0.000222337460955884,0.000227719883874553,0.000110622467608061,0.000118403370822505,0.000107341777835128,0.000122826834838726
3.79403387655999e-05,0.000231505335484844,0.000307921899946838,0.000212990295965061,0.000243696322277433,0.00022108059465456,0.000207257347623501
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.00284880940352793,0.0399993737187162,0.0841815009128147,0.142213522707288,0.221523251354605
2.09473602139975e-05,0.000168928243814901,0.000223648346142989,0.000140483438577782,0.000103567413457238,9.26293527640448e-05,0.000131711361958097
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.0032852640264076,0.00844056314925725,0.0162322828298491,0.0278307302149701
0,0,0,0.00196003185860659,0.00475951667413562,0.00885957751033782,0.0149032354169203
0,0,0.0457647566694019,0.164523063798088,0.277854471953038,0.416890838233056,0.604312906545977
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1.33151942024314e-05,0.000186955093724688,0.000393460170244518,0.000863467029885872
0,0,0,0,9.16115385387546e-06,2.22458958156117e-05,4.1409506838445e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,6.72931551676734e-06,1.41722650389791e-06,9.46262679554519e-07,0,0,8.99231302959004e-07
3.17899527521322e-06,4.22317465193985e-05,3.39293058780133e-05,1.29160546169311e-05,5.6074601824903e-06,5.04755686668382e-06,1.44120910141524e-05
0,2.16842770756759e-05,1.26977825692166e-05,5.21307737222756e-06,0,0,3.87768663379343e-06
5.710136841019e-06,9.4792010775944e-05,0.000106548261029896,5.77757829760331e-05,3.49047460631527e-05,3.10848029304652e-05,5.55384724067538e-05
0.000124101384229296,0.000123799590032111,2.03062837086526e-06,0,0,0,0
2.84070825368807e-06,3.06646786603642e-06,0,0,0,0,0
0.000251262524488644,0.000236583077906302,7.07864973325648e-05,1.34921183817095e-05,5.74629898686196e-06,4.92970204103043e-06,2.64261996641468e-06
0.000205344269264686,0.000201070183381935,6.92719057589331e-05,1.19071165586955e-05,5.64491395915147e-06,4.83886845888504e-06,1.8302312753406e-06
0.000128760763853826,0.000127786348318535,2.61212424230289e-05,0,0,0,7.44714119385625e-07
8.71337130220489e-05,8.76076086616377e-05,1.91827854515306e-06,0,0,0,0
0.000166880678521971,0.000148480434166924,3.46085482940525e-05,0,0,0,7.95407160859872e-07
0.000406137488939422,0.000398403935742677,0.000136463672844367,3.23471520948993e-05,1.66980066745987e-05,5.75656273202628e-06,9.29542548013747e-06
0.000295221348730156,0.000289037446809406,0.000110975883976298,1.43482980609075e-05,6.12310303127101e-06,5.25425431596169e-06,8.37390544954577e-06
0.000253155058816836,0.000236735027702538,8.2128214310927e-05,1.1942668831222e-05,5.66977963406791e-06,4.85840376128701e-06,1.75159174782356e-06
0.000171338138579496,0.000168353713152052,3.5841472812595e-05,0,0,0,8.41861521965596e-07
0.000137434342813501,0.000136439834402706,2.65479353067611e-05,0,0,0,7.54203273691752e-07
0.000254898079594043,0.000236987664448332,6.9729309447088e-05,1.18984326723735e-05,5.63580395316224e-06,4.83288901241821e-06,1.77780876793258e-06
0.000176052722623598,0.000172060032112993,3.67582715247899e-05,0,0,0,8.82614404016944e-07
0.00014109057322051,0.000139404889974968,3.32047300158352e-05,0,0,0,7.93377934767746e-07
0.000120103458788571,0.000119609871784276,2.03666334159719e-06,0,0,0,7.12266725535137e-07
0.000144208703506462,0.000142421963365528,3.38631955548847e-05,0,0,0,8.26695535813601e-07
0.000122107219458634,0.000121636912054996,2.13149384154059e-06,0,0,0,7.44813474057352e-07
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
