"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,0,0
0,0,7.04961835003241e-05,4.37580002692736e-05,7.11703978166613e-06,0,0,0
0,0,0,0,0,0,0,0
0,5.12763514987451e-06,8.15756479985609e-05,4.67448763582718e-05,4.76395809498383e-06,7.17029686049212e-07,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3.73619469430454e-06,4.00603746120038e-06,1.46308291859119e-06,8.6619791487567e-07,0,0
0,0,2.98946612552391e-06,0,0,0,0,0
0,0,3.62566353226533e-06,3.87233769139031e-06,1.40801535849321e-06,8.32693500915274e-07,0,0
0,0,3.39408403186753e-06,3.59175912388192e-06,1.29238139218228e-06,7.6236621232268e-07,0,0
0,0,4.35035469412928e-06,4.78017035057445e-06,1.79575530601229e-06,1.07005707666231e-06,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3.28974195885914e-06,3.52755069985873e-06,1.29080300960561e-06,7.62722979573715e-07,0,0
0,0,0,0,0,0,0,0
0,0,3.9227693578591e-06,4.29175007297961e-06,1.60594922493873e-06,9.54428448388846e-07,0,0
0,0,4.13995193496997e-06,4.50207750906885e-06,1.67082304188594e-06,9.9295719018259e-07,0,0
0,0,3.94028735617048e-06,4.25774783188417e-06,1.56884008549908e-06,9.3070179099234e-07,0,0
0,0,3.13903732288543e-06,3.3165481780018e-06,1.19245942612059e-06,7.02799405860716e-07,0,0
0,0,0,0,0,0,0,0
0,0,3.81993872964633e-06,4.09271433684789e-06,1.49271159392406e-06,8.83786576712621e-07,0,0
0,0,4.16894619442513e-06,4.51985957861331e-06,1.67078517886149e-06,9.92471418458263e-07,0,0
0,0,4.10140472929185e-06,4.43680427000908e-06,1.63597061765732e-06,9.71203096556494e-07,0,0
0,0,4.16062779776883e-06,4.51102743441862e-06,1.66767648536247e-06,9.90575598920875e-07,0,0
0,0,3.975438080642e-06,4.29835437391527e-06,1.58478297601568e-06,9.40132157492192e-07,0,0
0,0,4.29716581922667e-06,4.68010367994378e-06,1.73907172638684e-06,1.03421215024583e-06,0,0
0,0,4.45213188856063e-06,4.88429926821271e-06,1.83057607065813e-06,1.09029865301861e-06,0,0
0,0,4.66793839365085e-06,5.14041110574373e-06,1.93416297707544e-06,1.15372995446778e-06,0,0
0,0,4.56128944992849e-06,5.02337494629355e-06,1.89107759647016e-06,1.12739666341156e-06,0,0
0,0,4.57040396041265e-06,5.03466294102245e-06,1.89585349117473e-06,1.13032227864884e-06,0,0
0,0,4.31283263773314e-06,4.72081381901108e-06,1.76522670861838e-06,1.05029505188883e-06,0,0
0,0,4.00891308684352e-06,4.33937643493703e-06,1.60192093257261e-06,9.50552609314757e-07,0,0
0,0,4.42429393201234e-06,4.85546790428678e-06,1.82076636514862e-06,1.08439983676494e-06,0,0
0,0,0,0,0,0,0,0
0,0,9.5748055006358e-06,1.00722320534095e-05,3.40395639834603e-06,2.50121151603612e-06,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,2.93285181380495e-06,3.59813067460535e-06,1.46078690729784e-05,9.62593128683874e-06,2.3460181203176e-06,0
0,0,2.99243505589734e-06,3.53885552030832e-06,1.44311209478917e-06,8.59231651163949e-07,0,0
0,0,3.57673689261805e-06,4.49536757877844e-06,1.93800167115576e-06,1.16048634727873e-06,0,0
0,0,0,3.21794270729995e-06,1.42603287660289e-06,8.47966840958778e-07,0,0
0,0,0,3.52411263551585e-06,1.77428641363458e-06,1.06312348859366e-06,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.000312924749464291,0.000372847625438524,0.000253772267765794,0.000187847023911568,2.79760789952826e-05,5.463344085738e-06,1.47402171453593e-06
0,0.000296796862934827,0.000405334346602151,0.000229172681779638,0.000199473231491403,2.59415976782745e-05,5.21632333757208e-06,1.39732621054272e-06
0,0.000405240308695577,0.000824933597136878,6.51705748437e-05,0.000362065380920899,5.32655203729194e-05,6.86041613625182e-06,2.89077534296149e-06
0,0.000362143907670186,0.000456727669094149,0.000352819721971896,0.00021799540854158,2.98261619629908e-05,5.74433091749847e-06,1.5574401424936e-06
0,0.000381404790121625,0.000726863635627948,5.7656989167294e-05,0.000341053600454784,5.30787198115792e-05,6.84912053764261e-06,2.8883972157898e-06
0,0.000384803599695222,0.000516969544762083,0.000503628616230099,0.00032391170121011,5.46081448144579e-05,6.86794127421962e-06,2.90040856125258e-06
0,0,2.05837849037751e-05,4.01406453145266e-05,1.35540242052694e-05,2.58346404133732e-05,3.35526511625185e-05,4.40132333085115e-05
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.000401967524228733,0.000779268027104079,6.08273793164629e-05,0.000337772728799069,5.54329566027383e-05,7.0603477575351e-06,2.9770169623828e-06
0,0.000765373218825903,0.00107843387182815,9.4190379486419e-05,0.000450965392697398,7.74730232845805e-05,7.81758519586721e-06,3.31630031906792e-06
0,0.00448024306542312,0.00431199037403224,0.00164597873302809,5.1728374842997e-05,8.95614214002698e-05,8.26060978577421e-06,3.51514706346433e-06
