"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,0,1.06349939542803e-06
0,0,7.06853496070098e-05,5.69836308532185e-05,2.03454582926448e-05,1.48768596105919e-05,1.35166476601029e-05,2.5422592223469e-05
0,0,0,0,0,0,0,9.45968908678926e-07
0,5.12893950628393e-06,8.27069391547832e-05,6.39976544335185e-05,1.73138154424298e-05,1.3426093000345e-05,1.2577142625359e-05,2.17623935036732e-05
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3.7431529376559e-06,4.50525085929913e-06,2.01414179858741e-06,1.34694048121067e-06,1.15586153986542e-06,1.32353048103141e-06
0,0,2.995033670712e-06,0,0,0,0,0
0,0,3.63241592373094e-06,4.35489005796893e-06,1.93833346733687e-06,1.2948410121546e-06,1.10991637965269e-06,1.26946652862153e-06
0,0,3.40040513250094e-06,4.039347119439e-06,1.77914686080634e-06,1.1854818572636e-06,1.01351826433197e-06,1.15609148083844e-06
0,0,4.35845674156075e-06,5.37585251962888e-06,2.47211267106938e-06,1.6639421187816e-06,1.437453490438e-06,1.65733111144368e-06
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3.29586873409058e-06,3.96713734598921e-06,1.77697399262407e-06,3.15554947641121e-06,5.59039410522013e-06,9.59566067431656e-06
0,0,0,0,0,0,0,0
0,0,3.93007507558437e-06,4.82656762235938e-06,2.21081759567855e-06,1.48413923824621e-06,1.27866208166412e-06,1.47017838025404e-06
0,0,4.1476621308734e-06,5.06310506649283e-06,2.30012563467412e-06,1.54405155288109e-06,1.33020261343402e-06,1.5292994340943e-06
0,0,3.94762569920178e-06,4.78832818316366e-06,2.15973158551108e-06,1.44724421139111e-06,1.24453826092265e-06,1.42814222621821e-06
0,0,3.14488342764408e-06,3.72984069009988e-06,1.64159005805476e-06,1.09285528591983e-06,0,0
0,0,0,0,0,0,0,0
0,0,3.82705293686596e-06,4.60272899630469e-06,2.05492988562363e-06,1.37429090567102e-06,1.17937929471191e-06,1.35049447797506e-06
0,0,4.17671038888313e-06,5.08310305324937e-06,2.30007351083397e-06,1.54329617632235e-06,1.32889591572472e-06,1.52700072754267e-06
0,0,4.10904313535038e-06,4.98969778580426e-06,2.25214631407036e-06,1.51022386889129e-06,1.29960889033496e-06,1.49239192014631e-06
0,0,4.16837650014653e-06,5.07317028911326e-06,2.29579395194103e-06,1.5403481709807e-06,1.32629023108104e-06,1.52392781720714e-06
0,0,3.9828418879531e-06,4.83399491997045e-06,2.18167924259309e-06,1.4619084609502e-06,1.25709936542522e-06,1.44248511792693e-06
0,0,4.30516880834736e-06,5.26331601486267e-06,2.39407965901898e-06,1.60820314549706e-06,1.38640882008839e-06,1.59500728174338e-06
0,0,4.46042348459554e-06,5.492957489368e-06,2.52004840775306e-06,1.69541783366107e-06,1.46390307277495e-06,1.68689880080955e-06
0,0,4.67663190508421e-06,5.78098477001345e-06,2.66265052233612e-06,1.79405370686105e-06,1.55146522480939e-06,1.79063829505986e-06
0,0,4.56978433967205e-06,5.64936411917361e-06,2.60333736593026e-06,1.75310535646906e-06,1.51518277690394e-06,1.74773355466439e-06
0,0,4.57891582490917e-06,5.66205877029574e-06,2.60991206448487e-06,1.75765469736202e-06,1.51922280647412e-06,1.75252158937639e-06
0,0,4.32086480454521e-06,5.30909925847721e-06,2.4300857132791e-06,1.63321210812126e-06,1.40870103593163e-06,1.62152408654709e-06
0,0,4.01637923759718e-06,4.88012895577477e-06,2.20527207810847e-06,1.47811229629923e-06,1.27138052777589e-06,1.45928047408559e-06
0,0,4.43253368297708e-06,5.46053329754252e-06,2.5065439524365e-06,1.68624515583901e-06,1.45590973720469e-06,1.67760613551099e-06
0,0,0,0,0,0,0,0
0,0,9.59289667298501e-06,1.14733648155222e-05,4.26863326890021e-06,3.23569485415522e-06,2.94814687980935e-06,3.25511409666087e-06
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
